k,silhouette_cos,min_size,max_size
10,0.0304,520,784
15,0.0247,308,538
20,0.0216,240,388
25,0.0199,159,329
30,0.0186,143,296
35,0.0203,85,278
40,0.0186,85,256
50,0.0186,72,221
60,0.0156,47,167
