preset,n_total,n_clusters_excl_-1,n_outliers,outliers_pct,largest_cluster_size
baseline,12630,35,7826,61.96,7826
tuned_less_outliers,12630,22,9096,72.02,9096
tuned_stricter,12630,2,1937,15.34,10589
