cluster,n_members,top_words,top_characters,label
-1,1937,"duke, braue, does, love, villaine, white, base, knight, royall, fortunes",Solym | Ross | Hoff | Soli | Lor,-1: outliers
0,104,"lete, mido, therfor, hyp, christianity, generacyon, synnes, saluacyon, thea, mannys",Abraham | CHRIST | Iuuen Tus | Ionas | Hypocriſie,"0: lete, mido, therfor"
1,10589,"duke, love, does, mistris, braue, knight, meete, fortunes, captaine, hem",Chorvs | Celest | Calisto | Melibea | Tru,"1: duke, love, does"
